"Accession","Ae","AeT","At","AtT","AtTDp"
"All Accessions","0.818849700389712","0.925957585237656","0.776979280655048","0.924567411724279","0.929715537004622"
"242","0.876963371149653","0.973645035155076","0.8724630494276","0.960522342335811","0.975154725392011"
"246","0.829273004011378","0.919537800252963","0.750893433348287","0.853917551901134","0.865656241325401"
"319","0.58684735250925","0.689277679839453","0.560161633250022","0.681212813791845","0.842330521943426"
"325","0.889401141852539","0.93121736635264","0.82079069451651","0.879365125366921","0.866120587754484"
"326","0.880035906625077","0.946226162714775","0.847376726382944","0.901004287220329","0.915053463038385"
"390","0.615095093692507","0.790271412207178","0.761303671464892","0.924211668469778","0.922234433211543"
"572","0.680730574593192","0.884822366914937","0.623702863515242","0.764160214369159","0.755583808602068"
"580","0.669664193865507","0.870813604402738","0.5799119056578","0.829221458035347","0.843812599604032"
"582","0.762485457115254","0.865396378335884","0.772995732483795","0.840207014293061","0.842988996910906"
"584","0.940759857677462","0.970805174508642","0.885783332054579","0.944201984544023","0.953359102957491"
"585","0.576329744168601","0.726038187426486","0.647218506353339","0.866495196965363","0.86469222417981"
"839","0.748892002517239","0.833059456580297","0.512566154804598","0.760222157782575","0.853190205036848"
"845","0.890520138091669","0.963100226592235","0.846212747145673","0.905378043393946","0.908435372518131"
"854","0.110270705886064","0.580610963255421","0.441973225138002","0.743373686067377","0.815768624632885"
